Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
968.5,-607.2
969.5,-607.2
970.5,-4817.72
971.5,110160
972.5,109267
973.5,109024
974.5,109436
975.5,110308
976.5,111830
977.5,111665
978.5,111844
979.5,111760
980.5,111634
981.5,58449.3
982.5,-607.2
983.5,-607.2
984.5,-607.2
985.5,-607.2
986.5,-607.2
987.5,-607.2
988.5,-607.2
989.5,-607.2
990.5,-607.2
991.5,-607.2
992.5,-607.2
993.5,-607.2
994.5,-4466.96
995.5,105108
996.5,110481
997.5,110291
998.5,110375
999.5,110761
1000.5,111414
1001.5,111990
1002.5,112992
1003.5,113133
1004.5,112996
1005.5,44423.6
1006.5,-607.2
1007.5,-607.2
1008.5,-607.2
1009.5,-607.2
1010.5,-607.2
1011.5,-607.2
1012.5,-607.2
1013.5,-607.2
1014.5,-607.2
1015.5,-607.2
1016.5,-607.2
1017.5,-2169.32
1018.5,-3345.24
1019.5,77799.2
1020.5,106104
1021.5,85813.5
1022.5,65394.2
1023.5,111956
1024.5,111327
1025.5,37425.8
1026.5,-607.2
1027.5,-607.2
1028.5,-607.2
1029.5,-607.2
1030.5,-607.2
1031.5,-607.2
1032.5,-607.2
1033.5,-607.2
1034.5,-607.2
1035.5,-607.2
1036.5,-607.2
1037.5,-607.2
1038.5,-607.2
1039.5,-607.2
1040.5,-607.2
1041.5,-607.2
1042.5,-3713.44
1043.5,56658.5
1044.5,111568
1045.5,111196
1046.5,110095
1047.5,111177
1048.5,111722
1049.5,110995
1050.5,75631.2
1051.5,-607.2
1052.5,-607.2
1053.5,-607.2
1054.5,-607.2
1055.5,-607.2
1056.5,-607.2
1057.5,-607.2
1058.5,-607.2
1059.5,-607.2
1060.5,-607.2
1061.5,-607.2
1062.5,-607.2
1063.5,-607.2
1064.5,-607.2
1065.5,-607.2
1066.5,-4909.48
1067.5,109560
1068.5,108406
1069.5,108360
1070.5,108018
1071.5,108586
1072.5,109985
1073.5,111467
1074.5,113664
1075.5,113850
1076.5,113793
