Hours since 00:00 Jan 1,Hourly Data: System power generated (kW)
967.5,-607.2
968.5,-607.2
969.5,-607.2
970.5,-5709.78
971.5,108507
972.5,107048
973.5,106691
974.5,107424
975.5,108850
976.5,111749
977.5,111773
978.5,113288
979.5,113531
980.5,113476
981.5,113405
982.5,113308
983.5,113172
984.5,43400.8
985.5,-607.2
986.5,-607.2
987.5,-607.2
988.5,-607.2
989.5,-607.2
990.5,-607.2
991.5,-607.2
992.5,-607.2
993.5,-607.2
994.5,-5194.51
995.5,109852
996.5,109094
997.5,108827
998.5,108967
999.5,109554
1000.5,110533
1001.5,111815
1002.5,113992
1003.5,114229
1004.5,114163
1005.5,114079
1006.5,113959
1007.5,86162.7
1008.5,-607.2
1009.5,-607.2
1010.5,-607.2
1011.5,-607.2
1012.5,-607.2
1013.5,-607.2
1014.5,-607.2
1015.5,-607.2
1016.5,-607.2
1017.5,-2764.75
1018.5,-3848.72
1019.5,108082
1020.5,111583
1021.5,111811
1022.5,111217
1023.5,111417
1024.5,110424
1025.5,111279
1026.5,73839.9
1027.5,-607.2
1028.5,-607.2
1029.5,-607.2
1030.5,-607.2
1031.5,-607.2
1032.5,-607.2
1033.5,-607.2
1034.5,-607.2
1035.5,-607.2
1036.5,-607.2
1037.5,-607.2
1038.5,-607.2
1039.5,-607.2
1040.5,-607.2
1041.5,-1808.31
1042.5,-3945.78
1043.5,91243.9
1044.5,110793
1045.5,110251
1046.5,111590
1047.5,110193
1048.5,110988
1049.5,111874
1050.5,112348
1051.5,112504
1052.5,41236
1053.5,-607.2
1054.5,-607.2
1055.5,-607.2
1056.5,-607.2
1057.5,-607.2
1058.5,-607.2
1059.5,-607.2
1060.5,-607.2
1061.5,-607.2
1062.5,-607.2
1063.5,-607.2
1064.5,-607.2
1065.5,-1978.75
1066.5,18515.7
1067.5,107445
1068.5,105385
1069.5,105407
1070.5,104720
1071.5,105722
1072.5,108163
1073.5,111124
1074.5,114270
1075.5,114526
1076.5,114486
1077.5,114441
1078.5,114395
1079.5,114346
1080.5,114289
1081.5,114216
1082.5,114114
1083.5,113951
1084.5,-607.2
1085.5,-607.2
1086.5,-607.2
1087.5,-607.2
1088.5,-607.2
1089.5,-607.2
1090.5,-3030.23
1091.5,37786
1092.5,107870
1093.5,106361
1094.5,106866
1095.5,107880
1096.5,109433
1097.5,111250
1098.5,114416
1099.5,114676
1100.5,114628
1101.5,114564
1102.5,114488
1103.5,114393
1104.5,114246
1105.5,17396.3
1106.5,-607.2
1107.5,-607.2
1108.5,-607.2
1109.5,-607.2
1110.5,-607.2
1111.5,-607.2
1112.5,-607.2
1113.5,-607.2
1114.5,-1998.7
1115.5,-4021.08
1116.5,100960
1117.5,111712
1118.5,111952
1119.5,111676
1120.5,13741.4
1121.5,-3042.34
1122.5,-893.16
1123.5,-607.2
1124.5,-607.2
1125.5,-607.2
1126.5,-607.2
1127.5,-607.2
1128.5,-607.2
1129.5,-607.2
1130.5,-607.2
1131.5,-607.2
1132.5,-607.2
1133.5,-607.2
1134.5,-607.2
1135.5,-607.2
1136.5,-607.2
1137.5,-607.2
1138.5,-3255.61
1139.5,11952.6
1140.5,111576
1141.5,111098
1142.5,111086
1143.5,110952
1144.5,88873
1145.5,-2784
1146.5,-893.16
1147.5,-607.2
1148.5,-607.2
1149.5,-607.2
1150.5,-607.2
1151.5,-607.2
1152.5,-607.2
1153.5,-607.2
1154.5,-607.2
1155.5,-607.2
1156.5,-607.2
1157.5,-607.2
1158.5,-607.2
1159.5,-607.2
1160.5,-607.2
1161.5,-607.2
1162.5,-4515.01
1163.5,98508
1164.5,107842
1165.5,107049
1166.5,107019
1167.5,107747
1168.5,109156
1169.5,111003
1170.5,113631
1171.5,113890
1172.5,113843
1173.5,113780
1174.5,113704
1175.5,113619
1176.5,113506
1177.5,92723.6
1178.5,-607.2
1179.5,-607.2
1180.5,-607.2
1181.5,-607.2
1182.5,-607.2
1183.5,-607.2
1184.5,-607.2
1185.5,-2008.84
1186.5,-4107.57
1187.5,105162
1188.5,109519
1189.5,108536
1190.5,108166
1191.5,108755
1192.5,109978
1193.5,111575
1194.5,114129
1195.5,114382
1196.5,114331
1197.5,114258
1198.5,114153
1199.5,113993
1200.5,11797.7
1201.5,-607.2
1202.5,-607.2
1203.5,-607.2
1204.5,-607.2
1205.5,-607.2
1206.5,-607.2
1207.5,-607.2
1208.5,-607.2
1209.5,-2740.33
1210.5,23963.2
1211.5,110921
1212.5,111171
1213.5,109490
1214.5,108842
1215.5,109780
1216.5,111129
1217.5,111362
1218.5,113792
1219.5,114015
1220.5,113928
1221.5,113789
1222.5,40548.9
1223.5,-607.2
1224.5,-607.2
1225.5,-607.2
1226.5,-607.2
1227.5,-607.2
1228.5,-607.2
1229.5,-607.2
1230.5,-607.2
1231.5,-607.2
1232.5,-607.2
1233.5,-3846.39
1234.5,54435.4
1235.5,108139
1236.5,106459
1237.5,105569
1238.5,105362
1239.5,106527
1240.5,108328
1241.5,110453
1242.5,112189
1243.5,114397
1244.5,114651
1245.5,114611
1246.5,114563
1247.5,114512
1248.5,114456
1249.5,114387
1250.5,114297
1251.5,114171
1252.5,60739.1
1253.5,-607.2
1254.5,-607.2
1255.5,-607.2
1256.5,-607.2
1257.5,-2584.41
1258.5,-2636.2
1259.5,-1885.1
1260.5,-2005.13
1261.5,-2059.48
1262.5,3983.7
1263.5,-893.16
1264.5,-2644.74
1265.5,-893.16
1266.5,-607.2
1267.5,-607.2
1268.5,-607.2
1269.5,-607.2
1270.5,-607.2
1271.5,-607.2
1272.5,-607.2
1273.5,-607.2
1274.5,-607.2
1275.5,-607.2
1276.5,-607.2
1277.5,-607.2
1278.5,-607.2
1279.5,-607.2
1280.5,-607.2
1281.5,-607.2
1282.5,-2738.33
1283.5,21122.8
1284.5,111528
1285.5,111704
1286.5,110950
1287.5,111405
1288.5,111794
1289.5,110822
1290.5,100959
1291.5,-607.2
1292.5,-607.2
1293.5,-607.2
1294.5,-607.2
1295.5,-607.2
1296.5,-607.2
1297.5,-607.2
1298.5,-607.2
1299.5,-607.2
1300.5,-607.2
1301.5,-607.2
1302.5,-607.2
1303.5,-607.2
1304.5,-607.2
1305.5,-2570.26
1306.5,-3782.83
1307.5,97368.6
1308.5,109165
1309.5,108606
1310.5,108601
1311.5,109061
1312.5,110132
1313.5,111486
1314.5,113303
1315.5,113540
1316.5,113475
1317.5,113399
1318.5,113297
1319.5,113131
1320.5,3524.14
1321.5,-607.2
1322.5,-607.2
1323.5,-607.2
1324.5,-607.2
1325.5,-607.2
1326.5,-607.2
1327.5,-607.2
1328.5,-607.2
1329.5,-3977.15
1330.5,64597
1331.5,108436
1332.5,106814
1333.5,105889
1334.5,105856
1335.5,106734
1336.5,108361
1337.5,110437
1338.5,112153
1339.5,114357
1340.5,114610
1341.5,114580
1342.5,114549
1343.5,114504
1344.5,114444
1345.5,114366
1346.5,114268
1347.5,114127
1348.5,36657.7
1349.5,-607.2
1350.5,-607.2
1351.5,-607.2
1352.5,-607.2
1353.5,-4179.09
1354.5,78206.7
1355.5,107661
1356.5,105913
1357.5,104940
1358.5,105011
1359.5,106048
1360.5,107882
1361.5,111889
1362.5,112196
1363.5,114586
1364.5,114841
1365.5,114807
1366.5,114768
1367.5,114719
1368.5,114660
1369.5,114589
1370.5,114502
1371.5,114383
1372.5,78281.3
1373.5,-607.2
1374.5,-607.2
1375.5,-607.2
1376.5,-607.2
1377.5,-3891.9
1378.5,38061.9
1379.5,107650
1380.5,105887
1381.5,104897
1382.5,104956
1383.5,106045
1384.5,108059
1385.5,110206
1386.5,112158
1387.5,114607
1388.5,114858
1389.5,114816
1390.5,114766
1391.5,114710
1392.5,114647
1393.5,114577
1394.5,114492
1395.5,114367
1396.5,53026.4
1397.5,-607.2
1398.5,-607.2
1399.5,-607.2
1400.5,-607.2
1401.5,-607.2
1402.5,-4998.37
1403.5,109634
1404.5,109261
1405.5,108273
1406.5,109300
1407.5,108893
1408.5,110575
1409.5,111463
1410.5,114350
1411.5,114597
1412.5,114537
1413.5,114458
1414.5,114352
1415.5,114184
1416.5,5033.2
1417.5,-607.2
1418.5,-607.2
1419.5,-607.2
1420.5,-607.2
1421.5,-607.2
1422.5,-607.2
1423.5,-607.2
1424.5,-607.2
1425.5,-3531.46
1426.5,46595.8
1427.5,110297
1428.5,110160
1429.5,109483
1430.5,109133
1431.5,107680
1432.5,108824
1433.5,110506
1434.5,112034
1435.5,114122
1436.5,114376
1437.5,114335
1438.5,114268
1439.5,114167
1440.5,114011
1441.5,16557
1442.5,-607.2
1443.5,-607.2
1444.5,-607.2
1445.5,-607.2
1446.5,-607.2
1447.5,-607.2
1448.5,-607.2
1449.5,-4319.21
1450.5,86178.3
1451.5,105906
1452.5,103793
1453.5,102787
1454.5,102876
1455.5,104294
1456.5,112156
1457.5,112168
1458.5,111913
1459.5,114480
1460.5,114749
1461.5,114724
1462.5,114690
1463.5,114644
1464.5,114590
1465.5,114523
1466.5,114439
1467.5,114325
1468.5,113571
1469.5,-607.2
1470.5,-607.2
1471.5,-607.2
1472.5,-607.2
1473.5,-4079.77
1474.5,71091.8
1475.5,107544
1476.5,105864
1477.5,105852
1478.5,105934
1479.5,107039
1480.5,108816
1481.5,111851
1482.5,112044
1483.5,114570
1484.5,114834
1485.5,114808
1486.5,114770
1487.5,114717
1488.5,114651
1489.5,114580
1490.5,114503
1491.5,114400
1492.5,94511.7
1493.5,-607.2
1494.5,-607.2
1495.5,-607.2
1496.5,-607.2
1497.5,-4354.26
1498.5,89742.7
1499.5,108615
1500.5,108526
1501.5,107877
1502.5,107907
1503.5,108810
1504.5,110287
1505.5,111019
1506.5,112327
1507.5,114490
1508.5,114744
1509.5,114716
1510.5,114682
1511.5,114624
1512.5,114537
1513.5,114423
1514.5,114258
1515.5,7293.92
1516.5,-607.2
1517.5,-607.2
1518.5,-607.2
1519.5,-607.2
1520.5,-607.2
1521.5,-3130.79
1522.5,35019.8
1523.5,111357
1524.5,111656
1525.5,111252
1526.5,112445
1527.5,110488
1528.5,111451
1529.5,111633
1530.5,113037
1531.5,54391.7
1532.5,-607.2
1533.5,-607.2
1534.5,-607.2
1535.5,-607.2
1536.5,-607.2
1537.5,-607.2
1538.5,-607.2
1539.5,-607.2
1540.5,-607.2
1541.5,-607.2
1542.5,-607.2
1543.5,-607.2
1544.5,-607.2
1545.5,-4089.66
1546.5,73106.9
1547.5,109246
1548.5,109068
1549.5,108490
1550.5,108586
1551.5,109318
1552.5,110848
1553.5,111938
1554.5,112002
1555.5,113974
1556.5,114222
1557.5,114159
1558.5,114086
1559.5,114009
1560.5,113914
1561.5,113760
1562.5,4459.94
1563.5,-607.2
1564.5,-607.2
1565.5,-607.2
1566.5,-607.2
1567.5,-607.2
1568.5,-607.2
1569.5,-3896.45
1570.5,45704
1571.5,111182
1572.5,110857
1573.5,111212
1574.5,41090.2
1575.5,-3246.08
1576.5,-893.16
1577.5,-2122.4
1578.5,-1458.47
1579.5,-893.16
1580.5,-607.2
1581.5,-607.2
1582.5,-607.2
1583.5,-607.2
1584.5,-607.2
1585.5,-607.2
1586.5,-607.2
1587.5,-607.2
1588.5,-607.2
1589.5,-607.2
1590.5,-607.2
1591.5,-607.2
1592.5,-607.2
1593.5,-2170.85
1594.5,-3989.84
1595.5,-893.16
1596.5,-2152.22
1597.5,-1720.99
1598.5,-3582.37
1599.5,105285
1600.5,-893.16
1601.5,-1932.61
1602.5,-1562.47
